,Class,Data,char_length,word_count
0,-1,"mình đã dùng anywhere thế hệ đầu, quả là đầy thất vọng, hiện tại đang vứt xó. giá thì đắt, ngốn pin như ăn gỏi, nặng",116,26
1,-1,"quan tâm nhất là độ trễ có cao không, dùng thi thoảng nó cứ trễ bực mình, đấy mới chỉ là dùng văn phòng chứ game thì chắc là ném đi từ lâu. không biết con này có độ trễ không nhỉ. dùng nhiều loại nhưng vẫn kết nhất con chuột sứ mitsumi, gọn bấm nảy tốt",252,57
2,-1,"dag xài con cùi bắp 98k....pin trâu, mỗi tội đánh liên minh ức chế đập hết 2 con",80,18
3,-1,logitech chắc hàng phải tiền triệu trở lên dùng mới thích chứ em dùng con có 400k thấy được vài bữa là hư. chuyển sang eblue dùng được hơn năm chưa thấy hỏng.,158,33
4,-1,"đang xài con m175 cùi mía , nhà xài nhiều chuột nên thử con này con kia chơi và kết quả là sau 3 tháng và 4 con chuột khác nhau đủ kiểu đa chức năng mà h chỉ còn lại là con m175 cùi mía còn xài được 3 h đi mua chuột là xác định không để mấy con nhân viên vấy ngắn nó dụ nửa cứ logitech mà fan",288,72
5,-1,"đang xài 2 con m185, nút chuột giữa hai con đều như hạch. xài chưa được năm , scroll đã chạy bậy rồi. hay mua phải đồ đểu hỉ?",125,29
6,-1,con anywhere 1 mình dùng bị double click cũng 3 lần rồi... chán lắm,67,14
7,-1,"hàng cty cấp, cấp xong vứt ở nhà, xài con xornet cho đỡ mỏi tay. cơ mà vẫn thắc mắc là dong thấp nhất, nhưng éo bằng con misumi giá bằng 1 3.",141,32
8,-1,"magic mouse mà ngon hơn mới lạ, magic mouse chỉ được cái đẹp, pin thì ăn 2 tuần hết, không di trên mọi bề mặt được bạn nhé, bảo hành thì hãng bảo hành 1 năm, còn logitech thì năm nhé chuột này em đang dùng, chuột magic mouse bỏ tủ",230,52
9,-1,"em giống y bác luôn, chán bluetooth kinh hồn, 1tr7 mà em không tưởng tượng được độ chuối của bluetooth",102,20
10,-1,"mình cũng giật kinh khủng, cảm thấy hơi nản về cái bluetooth của nó..... đã cập nhật el capitan mới nhất, lúc đầu không bị, 1 thời gian sau lại giật lại như thường",160,34
11,-1,"mình đã lên 10.11.3 nhưng vẫn bị, đúng là tắt wifi đi thì ngon hơn hẵn..... chán vãi, mua em noá để khỏi dùng usb receiver, mà thấy cái bluetooth nản vãi",153,32
12,-1,10.11.3 mac 13 2015 mà ....... cảm thấy chuột không mượt khá là khó chịu,72,16
13,-1,di chuyển chuột không mượt bạn ơi. còn cáo scroll cũng thấy bình thường nhưng chả biết sao cảm giác không thích lắm. mới đầu test train win thì ok nhưng giờ về nhà cắm mac the xảy ra mấy chi khi chịu thật.,190,43
14,-1,cập nhật tình hình sau khi đi bảo hành về bên logitech thông báo chuột bình thường khi kết nối bluetooth với mac air. mình mang mac pro ra ngoài svhouse kết nối với bluetooth con mv anywerè 2 thì vẫn có hiện tượng lag ...... giờ mang về xài tạm chứ chả biết giải quyết sao luôn. tính làm cái mail gửi svhouse để hối thúc bên logitech mà chả biết thế nào..... mấy bạn xài mac pro 10.11.3 kết nối bluetooth thì bình thường à??? chắc kiếm chuột khác cắm test thử xem sao quá.,462,96
15,-1,"có ai mua con này dùng lúc rê nó bị đứt quãng không, e dùng thấy bị khó chịu quá, rê nó không được đều.",103,25
16,-1,"vừa đi bảo hành con này nút middle. chuột logitech cao cấp hình như không tốt. trước đây xài con m905 cũng bị lỗi double click không sửa được. cũng may, thành nhân đổi cho con mới. giờ đến con này thì cũng bị lỗi. cho do mình xui",226,49
17,-1,chưa có cách khắc phục nhé mang đem đi bảo hành rồi mà vẫn bị chả hiểu sao logitech kêu xài bình thường ..... thôi về cắm cái cục kia vô xài luôn cho lành. đồ rẻ rẻ thì ok đụng vô đát tí thì bị tè le,190,47
18,-1,"sao mình dùng nó lag vãi linh hồn luôn, chán thật 1tr8 bluetooth mà giờ đang dùng usb reciver. mình dùng mac pro 2015 13 ich, có cách nào khắc phục không chứ bỏ tiền ra mua còn này để dùng bluetooth mà giờ xót quá",213,46
19,-1,"khuyên các bác không nên mua chuột bluetooth, xài chán vãi, em cũng đang dùng con này nhưng không bao giờ dùng chức năng bluethooth cả, lag lắm, xài mấy con bluethooth kể cả magic mouse, chưa con nào ra hồn, đến giờ này em vẫn không hiểu nổi tại sao chuột bluetooth lại bèo vậy, vì về kỹ thuật mà nói, băng thông dư sức để làm chuyện đơn giản này, ngay cả nhạc nhẽo còn truyền ngon ơ cơ mà.",390,82
20,-1,"đã dùng thử em nó, cảm giác không được hoàn thiện lắm, nói chung là next luôn",77,17
21,-1,"đúng rồi, như apple có làm ra được cái gì đâu, con a9 apple còn chôm của hội nghiên cứu sinh đại học wicousin.",108,24
22,-1,con này nó không có cổng âm thanh muốn xuất ra chỉ có mỗi đường hdmi nhỉ . cũng bất tiện ở khoản đó,96,24
23,-1,kỷ niệm tuổi thơ tôi. mỗi tội đắt quá éo có tiền mua.,53,13
24,-1,không thể cài thêm game mới là không ổn rồi.,38,10
25,-1,không có triển vọng doanh số bán rồi,33,8
26,-1,"cho 1 cái cục 30 game với giá 60 , không cài được game mới hoặc cắm băng cũ hãng này tính troll fan của dòng này chắc cười . nếu đã sưu tầm thì họ mua cái máy đời cũ cho rồi ... dự là doanh số thảm hại cho xem",210,53
27,-1,"mới không ra mới , cũ không ra cũ , dở dở ương ương chẳng cảm nhận được gì từ sản phẩm này",90,23
28,-1,"đã nói sưu tầm thì ng ta sưu tầm cái máy cổ lỗ sĩ kia chứ chả ai dở hơi đi mua máy này. mới chả ra mới, cũ chả ra cũ. tính ra thì thằng nintendo vụ này hút máu ng dùng còn gì.",175,45
29,-1,"không cài thêm được game, không cắm được băng...thế thì mua làm gì nhỉ, trong khi máy cũ vẫn có ng bán . hàng tầu thì tràn lan. giả lập thì luôn sẵn sàng.",154,34
30,-1,quá đắt cho 1 cuộc tình. cái màn hình chỉ đáng 200 . nếu bỏ thêm tới 300 thì tôi kì vọng phải có pin đủ xài 5 tiếng.,117,28
31,-1,"bản chất 2 vấn đề này là khác nhau. apple thiết kế sản phẩm để ai cũng dùng được, còn microsoft thiết kế sản phẩm để không ai thèm dùng.",136,30
32,-1,"xbox thì thích mỗi cái gamepad của nó, còn lại vứt cười everything i do, i do on my pc",85,20
33,-1,"thanks bạn vì bài chia sẻ hay, tiếc là 90 số đó không ứng dụng ở cái vùng trũng công nghệ của tg. mình là người đã có lần hỏi bạn về cách ứng dụng aw trong cuộc sống để xem có nên mua hay không. câu trả lời đến giờ vẫn là không. chờ đợi sự đồng bộ hạ tầng bank, thanh toán trực tuyến... hoặc chờ đợi những chức năng hợp lý cho ng việt camera, sim rời, pin lâu... . tks anyway",373,84
34,-1,toàn ba cái ứng dung mang từ điện thoại sang thì mua thêm cái này làm khỉ gì,68,17
35,-1,"vẫn không hiểu nhiều người cứ thích sw phải có sim rời để làm gì, đưa đồng hồ lên miệng là đã thấy dị rồi, chẳng thà mua cái điện thoại cùi bắp 2 sim 2 sóng kiêm tai nghe bluetooth luôn có phải ngon không",196,45
36,-1,"bỏ ra 8 10tr để mua một sản phẩm có thể hữu ích hoặc không hữu ích. dày gấp 3 lần, pin kém 2000 lần, giá gấp 2 lần đồng hồ bình thường.",135,32
37,-1,"thật tiếc là đa số những ứng dụng trên đều không sử dụng được hoặc chưa thật sự hiểu quả tại việt nam cơ bản thì mình cũng có cùng quan điểm với bác chủ topic về khái niệm sử dụng smartwatch vào thời điểm hiện tại.trung bình 300 400 là 1 khoản tiền không nhỏ,kiếm 300 400 tại việt nam cũng không phải đơn giản nhưng việc 1 người bỏ ra 300 400 để thoả mãn đam mê của mình thì ngay cả ở việt nam cũng đâu phải cái j đó quá khủng khiếp.mình thấy lạ là có rất nhiều người vào comment cái kiểu chả để làm j , nâng bi , phí tiền ,...mình không nói bạn có tiền để mua hay không,nhưng đơn giản là bạn vào đọc,không thk bạn có thể đi ra và tìm 1 topic khác đúng sở thk của bạn.bạn không cần phải thở ra những câu chả liên quan kiểu như vậy để người khác không mua giống mình cho đỡ cảm thấy lạc lõng với xu hướng của thế giới",793,175
38,-1,"bạn này nói là quên tiền mặt với thẻ thì có apple pay trên aw để dùng, nói thật là có cái này iphone nó cũng có, mà nhiều khi quên đeo đồng hồ hơn là quên mang ví hay là điện thoại, nhất là đối với 1 cái đồng hồ phải sạc mỗi ngày như cái này, nói chung mình thấy cũng không thiết thực lắm, nếu dư giả thì có thể mua để trải nghiệm, chứ còn bảo để dùng như 1 phần mở rộng thì cũng đúng cũng không, không vì nó chưa tương xứng với cái giá của nó, vì bỏ ra số tiền bằng hoặc hơn 1 cái iphone chỉ để mở rộng 1 số tính năng là chưa thuyết phục. cá nhân mình cũng dùng được 2 tuần nhưng thật sự đôi lúc mình thấy lấy điện thoại ra nó vẫn tiện lợi hơn rất nhiều, không bay nhiều như chủ thớt để xài cái boarding pass trên aw, cũng tạm thời chưa xài được apple pay vì canada chưa hỗ trợ, uber khi nào nhậu say lắm quên hết đường về mới gọi chứ cũng không thường xuyên, tập thể dục thì ít mà cũng chả theo dõi mấy cái thông tin đấy nhiều. mình tự nhận là heavy user nên thấy pin cũng hơi chán. cái thường xuyên nhất mình dùng chắc là starbucks card",1009,232
39,-1,"trừ scan thanh toán ra thì những cái còn lại như vô dụng, dùng smp dễ chịu hơn, tự dưng mang thêm cục tức trên người",116,26
40,-1,"vụ này hơi chém gió. pin của apple watch chỉ được 1 ngày, thưởng là phải charge qua đêm thì sao ngủ dậy có đồng hồ trên tay được. hoặc là chấp nhận ban ngày không xài để đeo ban đêm khi ngủ",189,43
41,-1,"100 là cái này éo được ưa chuộng ở vn từ tính năng cho đến...mọi thứ. tính năng thì chúng ta đã rõ, nó cũng như nhiều sw khác chỉ hỗ trợ tốt ở mỹ với một số nước tư bản giẫy chết khác. về việc dùng, giang hồ dồn tiền mua cái 6 plus, phần lớn đến đám đông để khoe. dùng cái này thì khoe cái 6 plus, 6 s plus thế quái nào được? không lẻ vừa nhìn đồng hồ vừa móc điện thoại nhìn???",378,88
42,-1,"giá tiền cao , tiện ích không quá nổi trội , pin còn yếu . không đáng đồng tiền bát gạo . chờ nâng cấp thêm rồi tính tiếp .",125,30
43,-1,"thấy cái ứng dụng vào việc đọc báo của bạn này hơi bị gượng gạo và hài hước. với cái màn hình bé tí của aw thì việc đọc bài báo 100 từ cũng đã mệt mỏi rồi. đưa cái việc đọc báo ra là để cố gắng nói cái lợi ích của nó chứ thực tế mình mở điện thoại đọc cho sướng mắt chứ đọc trên cái aw làm gì? bản đồ cũng thế. rất khó khăn để nhìn được và nhìn các vùng. phải thao tác trên phone trước rồi chuyển sang nhìn đồng hồ. khá rắc rối, được cái không phải cầm phone coi thôi. nói chung là bài viết không phù hợp ở vietnam. có khi tiếng anh của bạn này chưa đủ để chém trên trang nước ngoài nên viết tiếng việt ở đây nên dịch và chuyển qua bên mẽo để đúng với mục đích",645,151
44,-1,"uầy bác này nói trúng những suy nghĩ của em từ lúc cái aw nó xuất hiện cười thích nhất cái số 2 mà bác nói.. chuẩn không thể chỉnh. đi tập gym ghét cứ phải nhét cái ip6 trong túi. để ở ngoài kế bên lúc tập thì sợ tập xong đứng lên lại quên cầm. để trong locker thì lại sợ missed calls với dropped emails...... cái thứ 3 về vụ đồng bộ thì rõ ràng bluetooth là cái thứ sóng yếu , lỗi đồng bộ và dễ bị cản sóng. mà càng cản thì càng hao pin để quét và giữ kết nối......",465,106
45,-1,về vn thì đúng nghĩa là 1 cái đồng hồ thật,42,11
46,-1,"uh. nếu coi tít báo rồi thấy cái nào hay thì mở ip ra coi. nhưng nói chung mình cảm thấy sau 1 tg dùng thì sẽ chẳng coi tin trên aw đâu, mà chủ yếu nhận noti sms, email, time là chính. ngay cả cái thời tiết hay nhịp tim cũng chẳng quan tâm mấy đâu. sau này thời lượng pin với cả màn hình aw to lên nữa thì mới nhiều ứng dụng được. hiện tại mình thấy không cần co dù mình sống ở úc. .",378,89
47,-1,"em dùng 1 tuần ở mỹ mà thấy chán cái aw luôn. ngoài chức năng đo nhịp tim đếm calo với số bước chạy thì 90 là a có thể dùng trên điện thoại với màn hình to hơn và thông tin chi tiết hơn. aw chỉ có ích với 1 phần nhỏ những người có đặc thù công việc như anh đắc chứ không thể phổ cập như 1 chiếc điện thoại được. thế nên e thấy tương lai nó cũng cjir như smart watch của các hãng khác, giới thiệu hoành tráng rồi chìm dần thôi.",407,96
48,-1,"chủ yếu các chức năng hoa lá cành, show hàng là chính. nhất là những app như trình diễn ppt bằng cái đồng hồ bé tí, pin yếu. nhiều chức năng khác thì dùng luôn trên iphone hay ipad cho hiệu quả cao hơn, lại đỡ phải đeo thêm 1 thiết bị điện tử luôn blutooth phải bật.",266,58
49,-1,không thấy thuyết phục để mua aw,32,7
50,-1,"èo, ở mỹ mà vẫn thường xuyên phai dành 6h bay đi bay lại để họp à. về việt nam sống đi bạn. với trình độ của bạn chắc chắn chả cần ra khỏi nhà, như ông sếp cũ của mình có thấy đến cty bao giờ. quên, chưa đựoc dùng bao giờ nên muốn hỏi bạn chút. nó có camera không, mình muốn đeo nó ở chân để soi nên trên quá. có chức năng ra lệnh bằng giọng nói không, có thì nó có hơn điện thoại không, mình không thích đứng giữa đường nói lảm nhảm. mà cái màn hình bé vậy chắc mình bấm không nổi. nó có thể kết nối đến máy chiếu và máy in qua mạng không dây không, theo như bạn nói phải cắm điện thoại vô máy chiều rồi dùng cái đồng hồ như kiểu điều khiển từ xa. nếu vậy mình kết nối điện thoại với máy chiếu qua mạng wf rồi cầm điện thoại dùng luôn tiện hơn. nó có tính năng gì nhận biét mình đang nhìn vô nó không, hay là lúc nào nó cũng sáng or là muốn nhìn phải ấn hay lắc. đêm đeo mà nó sáng có vẻ dị nhỉ, giống mấy cái đồng hồ phát quang quá. đựoc cái là không sợ bị nguời khác đung vô. lúc nhận tin nhắn hay e mail mình có thể soạn tin trả lời không, hay lại phải rút điện thoại ra trả lời. à nó có sạc không dây không, và dùng nó có nóng không. nếu nóng mình sẽ mua nó dùng vào mùa đông. có lẽ có lợi cho sức khỏe. còn nữa khi nên máy bay có cần tắt đồng hồ không bạn. nhu cầu mình có thế thôi. mình không biết mấy cái chức năng thanh toán đó thế nào vì không có để dùng. bên mmỹ sống tiện thật. nhưng mình không cần vì lúc nào cũng phải mang theo ví để đựng giấy tờ, chỗ mình không mang thẻ với hộ chiếu mà bị cảnh sát hỏi là có vấn đề. hơn nữa điện thoại cũng có chức năng đó.",1532,356
51,-1,"mua điện thoại khác lại phải nhét túi quần à? nếu gắn sim được trên đồng hhồ thì chỉ cần giơ tay ra xem ai gọi tới và bấm tai nghe blt là mghe luôn thôi. thiét bị liên lạc cực lỳ di động bao gồm 1 smw tai blt kẹp áo. còn smp, tablet vứt cốp xe, vứt trong cặp oke? chứ còn đeo smw mà túi quần vẫn cồm cộm cái điện thoại to vật và fai rut điện thoại ra nghe hoặc đưa đh lên miệng alo thì vứt đh đi cho xong",379,93
52,-1,"rồi khi có người gọi tới sim điện thoại gắn trên smp thì lúc đó nghe bằng niềm tin hả, sim trên sw là số khác nhé, còn nếu dùng dịch vụ chuyển cuộc gọi thì khi nghe cũng bị tính tiền như khi gọi nhé, chơi chuyển hướng một ngày nhận chục cuộc gọi thôi là tháy tiền ra đi vì đâu rồi, sao còn í định dùng sw có sim nữa không",313,73
53,-1,"thực ra tiện nhưng lại không tiện. ví dụ muốn nghe cuộc gọi đến sim chính thì phải chuyển cuộc gọi, tự nhiên lại tốn tiền. chưa kể nếu có ai nhắn đến sim chính cũng không biết luôn. ngoài ra khi muốn gọi thì lại phải gọi từ sim trên watch, như vậy mọi người sẽ rất bối rối với 2 số của bạn. ngoài ra ở nước ngoài việc duy trì 2 sim với 2 số điện thoại là tốn kém và không cần thiết, mỗi line điện thoại tốn 40 50 chứ không ít. nếu coi watch không phải thiết bị nối dài của phone mà là thiết bị độc lập thì cũng tốt, tuy nhiên sẽ cần một thời gian nữa để nó có thể thực sự hoạt động độc lập được, đặc biệt là về pin. hy vọng tương lai 5 7 năm nữa thì smartphone cũng không cần, chỉ cần 2 thiết bị smartwatch với tablet lai laptop là đủ",736,164
54,-1,"bạn cho mình hỏi, thực tế với những gì bạn dùng thì pin được bao lâu. nói thật là nghĩ đến pin aw là mình không muốn dùng nhưng cứ hỏi đã vì dùng mà cứ phải sạc mỗi tối thì đúng là mệt thật. sạc cái phone đã ngại rồi.",214,51
55,-1,"thế tức là sw vãn phải kết nối với phone còn gì nói túm lại nếu vẫn cần kết nối giữa watch và phone thì sim trên watch không để làm gì. nếu không có kết nối thì sim trên watch mới có tác dụng và cũng chỉ là để duy cập internet chứ gọi thì tự nhiên gọi từ 1 số sim lạ hoặc chưa chắc người khác đã nghe máy. sim trên watch cũng tốt nhưng chỉ nên là sim data như ipad thôi, chức năng nghe gọi không cần lắm.",401,93
56,-1,"sau một thời gian sử dụng aw mình thấy một số điểm chưa hài lòng không đi bơi được, ngày nào mình cũng đi tập gym song đi bơi luôn... nhưng phải tháo ra rất bực mình do để trong tủ đồ công cộng sợ bị móc chộm. quá phụ thuộc vào iphone... tính năng nghe gọi, nhắn tin hầu như không có tác dụng, khi mà iphone kè kè bên mình...trừ lúc vào toilet đi ị... lúc đó có điện thoại nghe gọi là ổn nhất. ở vn không sài được apple pay... tính năng này có cũng như không. mặt aw luôn tối thui... như cái đồng hồ rụng kim... ps nhình chung dùng cho biết thôi.. sau một thời gian 3 4 tháng sẽ thấy nhàm chán và không sử dụng được nhiều... tối về lại phải cắm thêm sạc. quên là hôm sau khỏi dùng",681,152
57,-1,chưa thấy đáng tiền lắm,23,5
58,-1,"apple watch thực sự mà nói mình sài thấy chỉ đón giản là xem giờ, coi noti, có tập thể thao thì em nó hữu ích nhưng cũng có nhiều loại khác đo chính xác không kém mà rẻ hơn . và cái mình đánh giá cao là sự thời trang bởi dây của aw thay cực dễ, và khá đẹp. tuy nhiên không phải không thất vọng. phần cứng thất vọng khá nhiều. mình sài sport space gray. màn hình thì cực dễ trầy, không phải trầy to nhìn thấy được, mà nó có dăm dăm, chiếu đèn thì thấy không thì cũng khá khó thấy. ngoài ra cái màu space gray nó không phải mà trên iphone 6, mình thấy nó giống với hồi ip5, và một vấn đề khác xuất hiện, đó là mình chả làm gì, mà sơn nó cũng tự tróc lên, không quá nhiều nhưng cũng 1 vài lổ nhỏ, trong góc của cái nút, tự hỏi tróc sao không tróc ngoài bề mặt, tróc trong hóc, không bị tác động gì mà cũng tróc. mình thì không biết các màu khác thế nào, space gray đúng là đẹp, nhueng thật sự không bền. với mình, 10tr mình mong có 1 sản phẩm tốt hơn là hiện giờ. chả hiểu apple gần đây sao chứ mình thấy làm ăn sống nhăn.",994,226
59,-1,nhìn giống đồng hồ em bé quá,28,7
60,-1,đã xấu còn đắt giá này hốt con moto 2 hay aw cho rồi...,55,14
61,-1,"smw đầu tiên phải là 1 cái đồng hồ đúng nghĩa, đẹp sang, báo giờ 24 24. sau đó là nhỏ gọn, pin dùng 2,3 ngày báo có cuộc gọi đến, lịch hẹn, hiển thị được thông báo và tin nhắn vậy thôi tham gì cho nó to tổ bố chức năng thừa thãi không hữu dụng",243,56
62,-1,vãi cả quẩng cáo cho nhà sam. s2 có cửa đòi ngồi chung mâm các con khác. huawei the best sw còn chưa lên tiếng thì con sam kia nhìn đê tiện.,140,32
63,-1,cái mặt đồng hồ chả hợp với dây da quái gì _,45,12
64,-1,hiển thị kém thì mất tác dụng nhỉ,33,8
65,-1,"nhìn đẹp quá mà chạy android là thấy không muốn mua rồi thích cái nào nghiêm túc hơn, phù hợp đo vận động hơn garmin, fitbit thẳng tiến",135,28
66,-1,"chống nước ip x8 thì chỉ tương đương 10m, thua xa garmin vivosmart hr 50m mà còn làm giá. polar chỉ được cái phần mềm thôi chứ tính năng phần cứng thua xa vivosmart hr. giá vhr thì chỉ tầm 1 2 giá m600 này.",208,44
67,-1,đắt và pin yếu là 2 nhược điểm chính,36,9
